player_name,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate
Caroline Weir,23,1985,3,8,86.30434782608695,0.34782608695652173
Lee Alexander,3,276,0,0,92.0,0.0
Alex Greenwood,40,3873,6,2,96.825,0.05
Jill Scott,30,2792,9,3,93.06666666666666,0.1
Lucy Bronze,44,4099,0,8,93.1590909090909,0.18181818181818182
Nikita Parris,10,941,3,4,94.1,0.4
Stephanie Houghton,23,2105,0,2,91.52173913043478,0.08695652173913043
Rachel Corsie,18,1661,1,0,92.27777777777777,0.0
Claire Emslie,23,1883,5,9,81.8695652173913,0.391304347826087
Karen Bardsley,5,456,0,0,91.2,0.0
Keira Walsh,44,4091,0,8,92.97727272727273,0.18181818181818182
Ajara Nchout,4,346,1,1,86.5,0.25
Henriette Akaba,2,179,2,0,89.5,0.0
Marlyse Bernadette Ngo Ndoumbouk,1,67,0,1,67.0,1.0
Gaelle Enganamouit,4,267,1,3,66.75,0.75
Nichelle Patrice Prince,8,641,3,5,80.125,0.625
Deanne Cynthia Rose,3,234,2,1,78.0,0.3333333333333333
Jeannette Yango,4,349,0,2,87.25,0.5
Charlène Iverna Meyong Menene,2,181,2,0,90.5,0.0
Jessie Alexandra Fleming,20,1820,11,1,91.0,0.05
Kadeisha Buchanan,7,615,0,1,87.85714285714286,0.14285714285714285
Estelle Johnson,11,1006,0,0,91.45454545454545,0.0
Janine Elizabeth Beckie,24,2113,11,5,88.04166666666667,0.20833333333333334
Claudine Falonne Meffometou Tcheno,2,179,0,0,89.5,0.0
Shelina Laura Zadorsky,32,2936,1,0,91.75,0.0
Christine Margaret Sinclair,14,1201,1,3,85.78571428571429,0.21428571428571427
Raissa Feudjio Tchuanyo,4,367,0,0,91.75,0.0
Sophie Schmidt,7,660,3,0,94.28571428571429,0.0
Yvonne Patrice Leuko,4,371,0,0,92.75,0.0
Ashley Elizabeth Marie Lawrence,7,659,0,0,94.14285714285714,0.0
Annette Ngo,4,359,0,0,89.75,0.0
Christine Manie,2,181,0,0,90.5,0.0
Allysha Lyn Chapman,13,1160,5,3,89.23076923076923,0.23076923076923078
Gabrielle Onguene,4,371,0,0,92.75,0.0
