player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate,goal_contribution,goal_contribution_per_match,shot_conversion_rate,attack_volume,defensive_actions,defensive_actions_per_match,discipline_score,discipline_per_match,availability_score,substitution_impact,actions_total,actions_per_match,injury_proxy_score,attack_index,defense_index,impact_score
Abbi Grant,0.0,0.0,1.0,14.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6428571428571429,2,187,2,0,93.5,0.0,0.0,0.0,0.0,15.0,1.0,0.5,1.0,0.5,93.5,1.0,16.0,8.0,0.0,8.0,0.5,102.0
Abbie Larkin,0.0,0.0,2.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,3,285,3,0,95.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,95.0,1.0,24.0,8.0,0.0,8.0,0.0,103.0
Abbie Magee,0.0,0.0,0.0,38.0,27.0,0.0,4.0,2.0,0.0,0.0,0.0,0.7105263157894737,3,270,2,0,90.0,0.0,0.0,0.0,0.0,38.0,6.0,2.0,0.0,0.0,90.0,0.6666666666666666,44.0,14.666666666666666,0.0,14.666666666666666,4.0,108.66666666666666
Abbie McManus,0.0,0.0,1.0,1514.0,1221.0,0.0,33.0,146.0,0.0,0.0,12.0,0.8064729194187582,27,2428,1,2,89.92592592592592,0.074074074074074,0.0,0.0,0.0,1515.0,179.0,6.62962962962963,6.0,0.2222222222222222,89.92592592592592,0.037037037037037035,1694.0,62.74074074074074,0.0008230452674896638,62.74074074074074,13.037037037037038,165.70288065843621
Abby Dahlkemper,0.0,0.0,2.0,1457.0,1239.0,0.0,17.0,95.0,0.0,0.0,11.0,0.8503774879890186,25,2307,1,1,92.28,0.04,0.0,0.0,0.0,1459.0,112.0,4.48,5.5,0.22,92.28,0.04,1571.0,62.84,0.0,62.84,8.74,163.86
Abby Erceg,2.0,0.0,17.0,595.0,483.0,0.0,26.0,72.0,0.0,0.0,3.0,0.8117647058823529,15,1369,0,0,91.26666666666668,0.0,2.0,0.13333333333333333,0.11764705882352941,612.0,98.0,6.533333333333333,1.5,0.1,91.26666666666667,0.0,710.0,47.333333333333336,0.0,47.95294117647059,12.966666666666667,152.18627450980392
Abby Smith,0.0,0.0,0.0,139.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258992805755396,4,343,0,1,85.75,0.25,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,85.75,0.0,139.0,34.75,0.047222222222222276,34.75,0.0,120.45277777777778
Abdalla Mahmoud El Said Bekhit,0.0,1.0,2.0,147.0,113.0,0.0,2.0,1.0,0.0,0.0,1.0,0.7687074829931972,3,238,0,1,79.33333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,149.0,3.0,1.0,0.5,0.16666666666666666,79.33333333333333,0.0,152.0,50.666666666666664,0.11851851851851847,51.33333333333333,1.8333333333333333,132.38148148148147
Abdallah Dipo Sima,0.0,1.0,2.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,2,168,1,1,84.0,0.5,1.0,0.5,0.0,24.0,0.0,0.0,0.0,0.0,84.0,0.5,24.0,12.0,0.06666666666666665,13.0,0.0,96.93333333333334
Abdallahi Mohamed Mahmoud,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1,91,1,0,91.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.5,0.5,91.0,1.0,7.0,7.0,0.0,7.0,5.5,103.5
