player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy
Idriss Carlos Kameni,0,1,0,1192,736,0,0,1,5,0,0,0.6174496644295302
Weligton Róbson Pena de Oliveira,0,2,4,1338,964,0,73,211,3,0,46,0.7204783258594918
Ignacio Camacho Barnola,2,1,25,1459,1092,0,76,71,1,0,84,0.748457847840987
Gonzalo Castro Irizábal,4,4,38,919,592,0,20,5,0,0,27,0.6441784548422198
José Luis García del Pozo,0,4,41,1636,1292,0,50,33,2,0,93,0.7897310513447433
Miguel Torres Gómez,0,2,2,1179,846,0,39,98,4,0,38,0.7175572519083969
Juan Pablo Añor Acosta,4,1,38,741,552,0,28,12,3,0,33,0.7449392712550608
Marcos Alberto Angeleri,0,0,4,420,321,0,26,79,0,0,18,0.7642857142857142
Roberto José Rosales Altuve,0,3,21,1910,1373,0,76,87,0,0,49,0.7188481675392671
Pablo Fornals Malla,1,1,27,828,635,0,26,16,0,0,17,0.7669082125603864
Roque Luis Santa Cruz Cantero,3,2,7,251,196,0,5,8,0,0,7,0.7808764940239044
Sérgio Paulo Barbosa Valente,3,1,33,1014,610,0,36,13,4,0,46,0.6015779092702169
Eneko Bóveda Altube,0,0,5,1105,825,0,54,82,0,0,25,0.746606334841629
Jon Errasti Zabalete,0,0,1,28,15,0,3,2,0,0,5,0.5357142857142857
Daniel García Carrillo,0,0,22,2107,1611,0,72,63,1,0,83,0.764594209776934
Saúl Berjón Pérez,4,4,39,741,418,0,18,9,1,0,30,0.5641025641025641
Ander Capa Rodríguez,2,4,19,2014,1274,0,120,102,4,0,71,0.6325719960278053
Javier Lara Grande,0,0,3,61,43,0,8,1,0,0,5,0.7049180327868853
Manuel Castellano Castro,0,0,4,429,309,0,21,24,1,0,25,0.7202797202797203
Borja Ekiza Imaz,0,0,0,282,199,0,14,35,0,0,14,0.7056737588652482
Abraham Minero Fernández,0,0,0,39,28,0,2,5,0,0,4,0.717948717948718
Raúl Albentosa Redal,2,0,20,1165,836,0,65,157,3,0,36,0.7175965665236052
Xabier Iruretagoiena Aranzamendi,0,0,0,139,66,0,0,0,0,0,0,0.4748201438848921
Federico Piovaccari,0,0,2,18,13,0,0,0,0,0,1,0.7222222222222222
Derek Owusu Boateng,0,0,2,137,121,0,3,4,0,0,9,0.8832116788321168
Daniel Nieto Vela,0,0,0,5,3,0,0,0,0,0,0,0.6
Sandro Ramírez Castillo,3,1,22,192,152,0,4,2,0,0,7,0.7916666666666666
