player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate,goal_contribution,goal_contribution_per_match,shot_conversion_rate,attack_volume,defensive_actions,defensive_actions_per_match,discipline_score,discipline_per_match,availability_score,substitution_impact,actions_total,actions_per_match,injury_proxy_score,attack_index,defense_index,impact_score,availability_ratio,minutes_variability,absence_rate,fatigue_index,injury_risk_score,sentiment_compound,positive_ratio,negative_ratio,neutral_ratio,hype_score
Aaren D''Silva,0.0,1.0,0.0,43.0,26.0,0.0,1.0,2.0,0.0,0.0,3.0,0.6046511627906976,9,873,9,0,97.0,0.0,1.0,0.1111111111111111,0.0,43.0,3.0,0.3333333333333333,1.5,0.1666666666666666,97.0,1.0,46.0,5.111111111111111,0.0,5.333333333333333,0.5,102.83333333333331,1.0777777777777775,0.0,0.9841269841269842,0.2539666666666667,0.0293097528287586,-0.07941,0.1,0.4,0.5,-0.27941
Aaron Cresswell,2.0,4.0,27.0,1874.0,1402.0,0.0,38.0,107.0,0.0,0.0,26.0,0.7481323372465315,37,3398,0,1,91.83783783783784,0.027027027027027,6.0,0.1621621621621621,0.074074074074074,1901.0,145.0,3.918918918918919,13.0,0.3513513513513513,91.83783783783784,0.0,2046.0,55.2972972972973,0.0,55.84384384384384,7.486486486486486,155.16816816816817,1.0204204204204204,0.0,0.9347442680776016,2.2992594594594595,0.1919408961819375,-0.05917999999999999,0.1,0.3,0.6,-0.15917999999999996
Aaron Hughes,0.0,0.0,0.0,118.0,86.0,0.0,1.0,5.0,0.0,0.0,3.0,0.7288135593220338,2,181,0,0,90.5,0.0,0.0,0.0,0.0,118.0,6.0,3.0,1.5,0.75,90.5,0.0,124.0,62.0,0.0,62.0,5.25,157.75,1.0055555555555555,0.0,0.9964726631393298,1.5181,0.1608559299103943,0.005480000000000001,0.2,0.1,0.7,0.30548000000000003
Aaron Hunt,1.0,2.0,24.0,870.0,625.0,0.0,7.0,9.0,1.0,0.0,32.0,0.7183908045977011,23,1977,3,8,85.95652173913044,0.3478260869565217,3.0,0.1304347826086956,0.0416666666666666,894.0,16.0,0.6956521739130435,17.0,0.7391304347826086,85.95652173913044,0.1304347826086956,910.0,39.56521739130435,0.044927536231884,39.95108695652174,0.6521739130434783,126.51485507246376,0.955072463768116,0.0,0.9594356261022928,0.5455260869565217,0.1467621683935647,-0.18433,0.1,0.7,0.2,-0.6843299999999999
Aaron Lennon,5.0,1.0,18.0,526.0,407.0,0.0,14.0,12.0,0.0,0.0,16.0,0.7737642585551331,26,2222,9,8,85.46153846153847,0.3076923076923077,6.0,0.2307692307692307,0.2777777777777778,544.0,26.0,1.0,8.0,0.3076923076923077,85.46153846153847,0.3461538461538461,570.0,21.923076923076923,0.0504273504273504,23.21794871794872,1.6923076923076923,110.32136752136752,0.9495726495726496,0.0,0.9541446208112876,0.7222,0.123689930832754,0.014030000000000004,0.3,0.3,0.4,0.31403
Aaron Long,0.0,0.0,1.0,50.0,43.0,0.0,3.0,1.0,0.0,0.0,3.0,0.86,1,94,0,0,94.0,0.0,0.0,0.0,0.0,51.0,4.0,4.0,1.5,1.5,94.0,0.0,55.0,55.0,0.0,55.0,6.5,155.5,1.0444444444444445,0.0,0.998236331569665,2.0094,0.2492408910886389,-0.014909999999999996,0.1,0.2,0.7,-0.014909999999999996
Aaron Mattia Tabacchi,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1,92,1,0,92.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,92.0,1.0,9.0,9.0,0.0,9.0,0.0,101.0,1.022222222222222,0.0,0.998236331569665,0.0092,1.424070912402225e-05,0.055479999999999995,0.4,0.1,0.5,0.75548
Aaron Mooy,0.0,0.0,4.0,425.0,339.0,0.0,6.0,17.0,0.0,0.0,10.0,0.7976470588235294,7,653,0,0,93.28571428571428,0.0,0.0,0.0,0.0,429.0,23.0,3.2857142857142856,5.0,0.7142857142857143,93.28571428571428,0.0,452.0,64.57142857142857,0.0,64.57142857142857,5.857142857142857,163.71428571428572,1.0365079365079366,1.4210854715202004e-14,0.9876543209876544,1.7081571428571427,0.1718456885801056,0.07499,0.3,0.2,0.5,0.47498999999999997
Aaron Ramsey,6.0,4.0,75.0,2597.0,2180.0,0.0,40.0,37.0,1.0,0.0,71.0,0.8394301116673084,40,3605,2,7,90.125,0.175,10.0,0.25,0.08,2672.0,77.0,1.925,36.5,0.9125,90.125,0.05,2749.0,68.725,0.0,69.46499999999999,2.9375,162.52749999999995,1.0013888888888889,0.0,0.929453262786596,1.323,0.1834559352902177,-0.09659999999999999,0.2,0.3,0.5,0.003400000000000042
Aaron Salem Boupendza Pozzi,0.0,0.0,3.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7333333333333333,1,95,1,0,95.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,1.0,95.0,1.0,18.0,18.0,0.0,18.0,-1.0,112.0,1.0555555555555556,0.0,0.998236331569665,0.0095,0.0712391473929217,-0.30301,0.0,0.9,0.1,-1.20301
