player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate,goal_contribution,goal_contribution_per_match,shot_conversion_rate,attack_volume,defensive_actions,defensive_actions_per_match,discipline_score,discipline_per_match,availability_score,substitution_impact,actions_total,actions_per_match,injury_proxy_score,attack_index,defense_index,impact_score,availability_ratio,minutes_variability,absence_rate,fatigue_index,injury_risk_score,sentiment_compound,positive_ratio,negative_ratio,neutral_ratio,hype_score
Aaron Tshibola,1.0,0.0,1.0,70.0,61.0,0.0,3.0,1.0,0.0,0.0,6.0,0.8714285714285714,6,551,5,1,91.83333333333331,0.1666666666666666,1.0,0.1666666666666666,1.0,71.0,4.0,0.6666666666666666,3.0,0.5,91.83333333333331,0.8333333333333334,75.0,12.5,0.0,15.833333333333334,0.8333333333333333,108.5,1.0203703703703704,1.4210854715202004e-14,0.9894179894179894,0.3884333333333333,0.0863532866765522,0.11599999999999999,0.4,0.3,0.3,0.616
Aarón Escandell Banacloche,0.0,0.0,0.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,1,94,0,0,94.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,94.0,0.0,28.0,28.0,0.0,28.0,0.0,122.0,1.0444444444444445,0.0,0.998236331569665,0.0094,2.848141824804462e-05,-0.047189999999999996,0.3,0.4,0.3,0.15280999999999995
Aarón Martín Caricol,0.0,0.0,0.0,147.0,105.0,0.0,5.0,8.0,1.0,0.0,6.0,0.7142857142857143,5,459,0,0,91.8,0.0,0.0,0.0,0.0,147.0,13.0,2.6,4.0,0.8,91.8,0.0,160.0,32.0,0.0,32.0,4.4,128.2,1.02,0.0,0.9911816578483246,1.3459,0.1521548566356166,-0.06436,0.3,0.4,0.3,0.13563999999999996
Aarón Níguez Esclapez,0.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5263157894736842,1,81,0,1,81.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,1.5,1.5,81.0,0.0,19.0,19.0,0.0999999999999999,19.0,-1.5,98.4,0.9,0.0,0.998236331569665,0.0081,0.2633890356033551,-0.03654999999999999,0.2,0.3,0.5,0.06345000000000003
Abbey-Leigh Stringer,0.0,0.0,8.0,417.0,336.0,0.0,14.0,14.0,0.0,0.0,27.0,0.8057553956834532,16,1342,7,6,83.875,0.375,0.0,0.0,0.0,425.0,28.0,1.75,13.5,0.84375,83.875,0.4375,453.0,28.3125,0.0680555555555555,28.3125,2.65625,114.77569444444444,0.9319444444444444,0.0,0.9717813051146384,1.0092,0.1943900308706927,-0.17214,0.3,0.5,0.2,-0.07214000000000001
Abbi Grant,0.0,0.0,1.0,14.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6428571428571429,2,187,2,0,93.5,0.0,0.0,0.0,0.0,15.0,1.0,0.5,1.0,0.5,93.5,1.0,16.0,8.0,0.0,8.0,0.5,102.0,1.038888888888889,0.0,0.9964726631393298,0.2687,0.0540933336075988,0.17143999999999998,0.6,0.3,0.1,1.07144
Abbie Larkin,0.0,0.0,2.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,3,285,3,0,95.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,95.0,1.0,24.0,8.0,0.0,8.0,0.0,103.0,1.0555555555555556,0.0,0.9947089947089948,0.0285,0.0013884691395921,-0.20873,0.0,0.5,0.5,-0.70873
Abbie Magee,0.0,0.0,0.0,38.0,27.0,0.0,4.0,2.0,0.0,0.0,0.0,0.7105263157894737,3,270,2,0,90.0,0.0,0.0,0.0,0.0,38.0,6.0,2.0,0.0,0.0,90.0,0.6666666666666666,44.0,14.666666666666666,0.0,14.666666666666666,4.0,108.66666666666666,1.0,0.0,0.9947089947089948,1.027,0.0724852094412736,-0.15331,0.1,0.3,0.6,-0.25331
Abbie McManus,0.0,0.0,1.0,1514.0,1221.0,0.0,33.0,146.0,0.0,0.0,12.0,0.8064729194187582,27,2428,1,2,89.92592592592592,0.074074074074074,0.0,0.0,0.0,1515.0,179.0,6.62962962962963,6.0,0.2222222222222222,89.92592592592592,0.037037037037037,1694.0,62.74074074074074,0.0008230452674896,62.74074074074074,13.037037037037038,165.7028806584362,0.9991769547325104,0.0,0.9523809523809524,3.557614814814815,0.2791628479003774,-0.21061999999999997,0.0,0.5,0.5,-0.71062
Abby Dahlkemper,0.0,0.0,2.0,1457.0,1239.0,0.0,17.0,95.0,0.0,0.0,11.0,0.8503774879890186,25,2307,1,1,92.28,0.04,0.0,0.0,0.0,1459.0,112.0,4.48,5.5,0.22,92.28,0.04,1571.0,62.84,0.0,62.84,8.74,163.86,1.0253333333333334,0.0,0.9559082892416226,2.4707000000000003,0.1966428319390624,-0.10854,0.0,0.3,0.7,-0.40854
Abby Erceg,2.0,0.0,17.0,595.0,483.0,0.0,26.0,72.0,0.0,0.0,3.0,0.8117647058823529,15,1369,0,0,91.26666666666668,0.0,2.0,0.1333333333333333,0.1176470588235294,612.0,98.0,6.533333333333333,1.5,0.1,91.26666666666668,0.0,710.0,47.333333333333336,0.0,47.95294117647059,12.966666666666669,152.18627450980392,1.014074074074074,1.4210854715202004e-14,0.9735449735449736,3.4035666666666664,0.2488255370725231,0.012489999999999998,0.3,0.3,0.4,0.31249
Abby Smith,0.0,0.0,0.0,139.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258992805755396,4,343,0,1,85.75,0.25,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,85.75,0.0,139.0,34.75,0.0472222222222222,34.75,0.0,120.45277777777778,0.9527777777777776,0.0,0.9929453262786596,0.0343,0.0441280018228107,-0.18035,0.0,0.4,0.6,-0.58035
Abdalla Mahmoud El Said Bekhit,0.0,1.0,2.0,147.0,113.0,0.0,2.0,1.0,0.0,0.0,1.0,0.7687074829931972,3,238,0,1,79.33333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,149.0,3.0,1.0,0.5,0.1666666666666666,79.33333333333333,0.0,152.0,50.66666666666666,0.1185185185185184,51.33333333333333,1.8333333333333333,132.38148148148147,0.8814814814814815,0.0,0.9947089947089948,0.5238,0.1128697507823159,-0.0009099999999999941,0.3,0.4,0.3,0.19908999999999996
Abdallah Dipo Sima,0.0,1.0,2.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,2,168,1,1,84.0,0.5,1.0,0.5,0.0,24.0,0.0,0.0,0.0,0.0,84.0,0.5,24.0,12.0,0.0666666666666666,13.0,0.0,96.93333333333334,0.9333333333333332,0.0,0.9964726631393298,0.0168,0.0812527393586301,0.049870000000000005,0.2,0.1,0.7,0.34987000000000007
Abdallahi Mohamed Mahmoud,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1,91,1,0,91.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.5,0.5,91.0,1.0,7.0,7.0,0.0,7.0,5.5,103.5,1.011111111111111,0.0,0.998236331569665,1.5091,0.1424142115947853,-0.026359999999999995,0.2,0.2,0.6,0.17364000000000002
Abdelaziz Barrada,1.0,6.0,27.0,1128.0,833.0,0.0,19.0,18.0,0.0,0.0,28.0,0.7384751773049646,27,2153,8,14,79.74074074074075,0.5185185185185185,7.0,0.2592592592592592,0.037037037037037,1155.0,37.0,1.3703703703703705,14.0,0.5185185185185185,79.74074074074075,0.2962962962962963,1192.0,44.14814814814815,0.1139917695473251,44.77777777777777,2.2222222222222223,126.6267489711934,0.8860082304526748,0.0,0.9523809523809524,0.9004851851851853,0.1904712133441656,-0.02966,0.3,0.4,0.3,0.17033999999999996
Abdelhamid El Kaoutari,1.0,0.0,3.0,581.0,463.0,0.0,16.0,55.0,1.0,0.0,9.0,0.7969018932874354,15,1372,1,0,91.46666666666668,0.0,1.0,0.0666666666666666,0.3333333333333333,584.0,71.0,4.733333333333333,5.5,0.3666666666666666,91.46666666666668,0.0666666666666666,655.0,43.66666666666666,0.0,44.8,9.1,145.36666666666667,1.0162962962962965,1.4210854715202004e-14,0.9735449735449736,2.5038666666666667,0.2037513192434717,0.13033,0.4,0.1,0.5,0.83033
Abdelhamid Sabiri,1.0,1.0,4.0,58.0,46.0,0.0,5.0,5.0,0.0,0.0,3.0,0.7931034482758621,5,419,3,2,83.8,0.4,2.0,0.4,0.25,62.0,10.0,2.0,1.5,0.3,83.8,0.6,72.0,14.4,0.0688888888888888,15.95,3.7,103.38111111111112,0.9311111111111112,0.0,0.9911816578483246,1.0419,0.1616803087385738,-0.047679999999999986,0.2,0.3,0.5,0.05232000000000005
Abdelkader Mohamed Ghezzal,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,92,1,0,92.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,92.0,1.0,6.0,6.0,0.0,6.0,0.0,98.0,1.022222222222222,0.0,0.998236331569665,0.0092,1.424070912402225e-05,-0.017850000000000005,0.3,0.4,0.3,0.18214999999999995
Abdelkarim Hassan Al Haj Fadlalla,0.0,0.0,6.0,158.0,125.0,0.0,3.0,7.0,0.0,0.0,2.0,0.7911392405063291,3,277,0,0,92.33333333333331,0.0,0.0,0.0,0.0,164.0,10.0,3.333333333333333,1.0,0.3333333333333333,92.33333333333331,0.0,174.0,58.0,0.0,58.0,6.333333333333334,156.66666666666666,1.025925925925926,1.4210854715202004e-14,0.9947089947089948,1.6943666666666666,0.1437385975433209,-0.17663999999999996,0.2,0.6,0.2,-0.3766399999999999
Abderrazak Hamdallah,0.0,0.0,2.0,16.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.5,4,375,4,0,93.75,0.0,0.0,0.0,0.0,18.0,2.0,0.5,2.0,0.5,93.75,1.0,20.0,5.0,0.0,5.0,0.5,99.25,1.0416666666666667,0.0,0.9929453262786596,0.2875,0.0554319602652569,0.023860000000000003,0.2,0.2,0.6,0.22386
Abdessamad Ezzalzouli,0.0,0.0,5.0,55.0,40.0,0.0,3.0,1.0,0.0,0.0,7.0,0.7272727272727273,7,636,5,2,90.85714285714286,0.2857142857142857,0.0,0.0,0.0,60.0,4.0,0.5714285714285714,3.5,0.5,90.85714285714286,0.7142857142857143,64.0,9.142857142857142,0.0,9.142857142857142,0.6428571428571428,100.64285714285714,1.0095238095238095,0.0,0.9876543209876544,0.3493142857142857,0.1005210969324382,0.05535000000000001,0.4,0.2,0.4,0.6553500000000001
Abdiel Armando Ayarza Cocanegra,0.0,1.0,3.0,9.0,8.0,0.0,0.0,2.0,0.0,0.0,3.0,0.8888888888888888,4,364,4,0,91.0,0.0,1.0,0.25,0.0,12.0,2.0,0.5,1.5,0.375,91.0,1.0,14.0,3.5,0.0,4.0,0.625,95.625,1.011111111111111,0.0,0.9929453262786596,0.2864,0.0464531931625608,-0.17863,0.2,0.5,0.3,-0.27863
Abdiel Arroyo Molinar,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8333333333333334,2,185,2,0,92.5,0.0,0.0,0.0,0.0,6.0,1.0,0.5,0.5,0.25,92.5,1.0,7.0,3.5,0.0,3.5,0.75,96.75,1.0277777777777777,0.0,0.9964726631393298,0.2685,0.0362782064934468,0.03651,0.3,0.1,0.6,0.53651
Abdou Diallo,0.0,0.0,5.0,624.0,537.0,0.0,8.0,25.0,1.0,0.0,16.0,0.8605769230769231,12,1045,1,4,87.08333333333333,0.3333333333333333,0.0,0.0,0.0,629.0,33.0,2.75,9.0,0.75,87.08333333333333,0.0833333333333333,662.0,55.16666666666666,0.0324074074074074,55.16666666666666,4.75,146.96759259259258,0.9675925925925926,0.0,0.9788359788359788,1.4795,0.2101915480863915,0.018649999999999996,0.3,0.2,0.5,0.41864999999999997
Abdou Kader Mangane,1.0,1.0,15.0,1006.0,753.0,0.0,40.0,178.0,1.0,0.0,38.0,0.7485089463220675,30,2691,3,1,89.7,0.0333333333333333,2.0,0.0666666666666666,0.0666666666666666,1021.0,218.0,7.266666666666667,20.0,0.6666666666666666,89.7,0.1,1239.0,41.3,0.0033333333333332,41.63333333333333,13.866666666666667,145.19666666666666,0.9966666666666668,0.0,0.9470899470899472,3.902433333333333,0.3299168817277461,0.13627,0.5,0.1,0.4,1.03627
Abdoul Bamo Meité,0.0,0.0,0.0,41.0,39.0,0.0,2.0,2.0,0.0,0.0,0.0,0.951219512195122,1,92,0,0,92.0,0.0,0.0,0.0,0.0,41.0,4.0,4.0,0.0,0.0,92.0,0.0,45.0,45.0,0.0,45.0,8.0,145.0,1.022222222222222,0.0,0.998236331569665,2.0092,0.1424213319493473,-0.10533999999999999,0.1,0.4,0.5,-0.30534
Abdoul Fessal Tapsoba,0.0,1.0,1.0,30.0,18.0,0.0,1.0,2.0,0.0,0.0,7.0,0.6,4,325,2,2,81.25,0.5,1.0,0.25,0.0,31.0,3.0,0.75,3.5,0.875,81.25,0.5,34.0,8.5,0.0972222222222222,9.0,0.625,90.77777777777776,0.9027777777777778,0.0,0.9929453262786596,0.4075,0.1757263948379011,-0.03535999999999999,0.3,0.3,0.4,0.26464
Abdoul Karim Yoda,0.0,0.0,8.0,539.0,400.0,0.0,23.0,20.0,1.0,0.0,16.0,0.7421150278293135,19,1710,10,1,90.0,0.0526315789473684,0.0,0.0,0.0,547.0,43.0,2.263157894736842,9.0,0.4736842105263157,90.0,0.5263157894736842,590.0,31.05263157894737,0.0,31.05263157894737,4.052631578947368,125.10526315789474,1.0,0.0,0.9664902998236332,1.302578947368421,0.1333305129511754,-0.14521,0.2,0.5,0.3,-0.24520999999999998
Abdoul Razack Guiebre,0.0,0.0,2.0,34.0,23.0,0.0,4.0,2.0,0.0,0.0,1.0,0.6764705882352942,1,76,0,1,76.0,1.0,0.0,0.0,0.0,36.0,6.0,6.0,0.5,0.5,76.0,0.0,42.0,42.0,0.1555555555555555,42.0,11.5,129.34444444444443,0.8444444444444444,0.0,0.998236331569665,3.0076,0.4136720301396697,-0.19251,0.0,0.4,0.6,-0.59251
Abdoul Razzagui Camara,2.0,0.0,29.0,467.0,330.0,0.0,16.0,15.0,2.0,0.0,23.0,0.7066381156316917,17,1479,0,5,87.0,0.2941176470588235,2.0,0.1176470588235294,0.0689655172413793,496.0,31.0,1.8235294117647056,13.5,0.7941176470588235,87.0,0.0,527.0,31.0,0.0333333333333333,31.4421906693712,2.8529411764705883,121.26179851250843,0.9666666666666668,0.0,0.9700176366843034,1.0596647058823527,0.1779863860682304,-0.07963,0.3,0.4,0.3,0.12036999999999995
Abdoulay Konko,0.0,0.0,13.0,1132.0,869.0,0.0,30.0,61.0,0.0,0.0,44.0,0.7676678445229682,21,1787,1,3,85.0952380952381,0.1428571428571428,0.0,0.0,0.0,1145.0,91.0,4.333333333333333,22.0,1.0476190476190477,85.0952380952381,0.0476190476190476,1236.0,58.85714285714285,0.0544973544973544,58.85714285714285,7.619047619047619,151.5169312169312,0.9455026455026456,0.0,0.962962962962963,2.3453666666666666,0.2690564610963793,0.11111,0.3,0.1,0.6,0.61111
Abdoulaye Ba,0.0,0.0,1.0,45.0,30.0,0.0,6.0,14.0,0.0,0.0,5.0,0.6666666666666666,2,134,0,1,67.0,0.5,0.0,0.0,0.0,46.0,20.0,10.0,2.5,1.25,67.0,0.0,66.0,33.0,0.2555555555555555,33.0,18.75,118.49444444444444,0.7444444444444445,0.0,0.9964726631393298,5.0134,0.5529319246634841,0.02752,0.2,0.2,0.6,0.22752
Abdoulaye Bamba,0.0,0.0,0.0,56.0,49.0,0.0,2.0,3.0,0.0,0.0,0.0,0.875,2,182,0,0,91.0,0.0,0.0,0.0,0.0,56.0,5.0,2.5,0.0,0.0,91.0,0.0,61.0,30.5,0.0,30.5,5.0,126.5,1.011111111111111,0.0,0.9964726631393298,1.2682,0.0896595046448446,-0.05635,0.0,0.2,0.8,-0.25635
Abdoulaye Diallo,0.0,0.0,0.0,169.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757396449704142,7,643,0,0,91.85714285714286,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,91.85714285714286,0.0,169.0,24.142857142857142,0.0,24.142857142857142,0.0,116.0,1.0206349206349206,0.0,0.9876543209876544,0.0643,0.0039375560727921,-0.11532,0.1,0.3,0.6,-0.21531999999999998
Abdoulaye Doucouré,2.0,4.0,30.0,1154.0,977.0,0.0,31.0,21.0,2.0,0.0,29.0,0.8466204506065858,31,2702,7,3,87.16129032258064,0.0967741935483871,6.0,0.1935483870967742,0.0666666666666666,1184.0,52.0,1.6774193548387095,16.5,0.532258064516129,87.16129032258064,0.2258064516129032,1236.0,39.87096774193548,0.0315412186379928,40.45806451612903,2.8225806451612905,130.41039426523298,0.9684587813620072,0.0,0.945326278659612,1.1089096774193548,0.1344891548833305,-0.00645,0.4,0.3,0.3,0.49355
Abdoulaye Keita,0.0,0.0,0.0,23.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.6086956521739131,4,371,4,0,92.75,0.0,0.0,0.0,0.0,23.0,3.0,0.75,0.0,0.0,92.75,1.0,26.0,6.5,0.0,6.5,1.5,100.75,1.0305555555555554,0.0,0.9929453262786596,0.4121,0.028702149239467,-0.040600000000000004,0.2,0.3,0.5,0.05940000000000003
