player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate
Abdoul Bamo Meité,0.0,0.0,0.0,41.0,39.0,0.0,2.0,2.0,0.0,0.0,0.0,0.951219512195122,1,92,0,0,92.0,0.0
Abdoul Fessal Tapsoba,0.0,1.0,1.0,30.0,18.0,0.0,1.0,2.0,0.0,0.0,7.0,0.6,4,325,2,2,81.25,0.5
Abdoul Karim Yoda,0.0,0.0,8.0,539.0,400.0,0.0,23.0,20.0,1.0,0.0,16.0,0.7421150278293135,19,1710,10,1,90.0,0.0526315789473684
Abdoul Razack Guiebre,0.0,0.0,2.0,34.0,23.0,0.0,4.0,2.0,0.0,0.0,1.0,0.6764705882352942,1,76,0,1,76.0,1.0
Abdoul Razzagui Camara,2.0,0.0,29.0,467.0,330.0,0.0,16.0,15.0,2.0,0.0,23.0,0.7066381156316917,17,1479,0,5,87.0,0.2941176470588235
Abdoulay Konko,0.0,0.0,13.0,1132.0,869.0,0.0,30.0,61.0,0.0,0.0,44.0,0.7676678445229682,21,1787,1,3,85.0952380952381,0.1428571428571428
Abdoulaye Ba,0.0,0.0,1.0,45.0,30.0,0.0,6.0,14.0,0.0,0.0,5.0,0.6666666666666666,2,134,0,1,67.0,0.5
Abdoulaye Bamba,0.0,0.0,0.0,56.0,49.0,0.0,2.0,3.0,0.0,0.0,0.0,0.875,2,182,0,0,91.0,0.0
Abdoulaye Diallo,0.0,0.0,0.0,169.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757396449704142,7,643,0,0,91.85714285714286,0.0
Abdoulaye Doucouré,2.0,4.0,30.0,1154.0,977.0,0.0,31.0,21.0,2.0,0.0,29.0,0.8466204506065858,31,2702,7,3,87.16129032258064,0.0967741935483871
Abdoulaye Keita,0.0,0.0,0.0,23.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.6086956521739131,4,371,4,0,92.75,0.0
Abdoulaye Sadio Diallo,2.0,2.0,16.0,380.0,290.0,0.0,6.0,10.0,0.0,0.0,19.0,0.7631578947368421,15,1131,6,9,75.4,0.6
Abdoulaye Seck,1.0,0.0,5.0,61.0,53.0,0.0,0.0,5.0,0.0,0.0,1.0,0.8688524590163934,2,186,1,0,93.0,0.0
Abdoulaye Touré,0.0,0.0,2.0,178.0,147.0,0.0,6.0,6.0,0.0,0.0,7.0,0.8258426966292135,6,559,3,0,93.16666666666669,0.0
Abdoulaye Traoré,0.0,0.0,2.0,242.0,206.0,0.0,5.0,2.0,0.0,0.0,7.0,0.8512396694214877,10,856,6,3,85.6,0.3
Abdu Conté,0.0,0.0,0.0,86.0,69.0,0.0,2.0,1.0,0.0,0.0,1.0,0.8023255813953488,2,162,0,1,81.0,0.5
Abdul Fatawu Issahaku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,98,1,0,98.0,0.0
Abdul Hakku Nediyodath,0.0,0.0,0.0,30.0,26.0,0.0,1.0,2.0,0.0,0.0,0.0,0.8666666666666667,1,94,1,0,94.0,0.0
Abdul Majeed Waris,11.0,3.0,55.0,379.0,291.0,0.0,3.0,2.0,1.0,0.0,19.0,0.7678100263852242,21,1750,1,5,83.33333333333333,0.238095238095238
Abdul Rabeeh,0.0,0.0,0.0,19.0,10.0,0.0,1.0,2.0,0.0,0.0,1.0,0.5263157894736842,3,238,2,1,79.33333333333333,0.3333333333333333
Abdul Rahman Baba,0.0,1.0,6.0,754.0,594.0,0.0,26.0,41.0,0.0,0.0,26.0,0.7877984084880637,18,1594,5,3,88.55555555555556,0.1666666666666666
Abdulaziz Hatem Mohammed Abdullah,0.0,0.0,1.0,91.0,72.0,0.0,2.0,0.0,0.0,0.0,4.0,0.7912087912087912,3,271,1,1,90.33333333333331,0.3333333333333333
Abdulelah Al Amri,0.0,0.0,1.0,101.0,76.0,0.0,4.0,17.0,0.0,0.0,4.0,0.7524752475247525,3,295,1,0,98.33333333333331,0.0
Abdulelah Saad Hameed Al-Malki,0.0,0.0,2.0,86.0,71.0,0.0,3.0,5.0,1.0,0.0,8.0,0.8255813953488372,2,187,0,1,93.5,0.5
Abdulia Sanyang,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1,95,1,0,95.0,0.0
Abdullah Ibrahim Al Maiouf,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,1,93,0,0,93.0,0.0
Abdullah Ibrahim Otayf,0.0,1.0,2.0,257.0,233.0,0.0,9.0,1.0,0.0,0.0,3.0,0.906614785992218,3,250,0,1,83.33333333333333,0.3333333333333333
Abdullah Mohammed Madu,0.0,0.0,0.0,11.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.3636363636363636,1,95,1,0,95.0,0.0
Abdullahi Shehu,0.0,0.0,0.0,32.0,31.0,0.0,1.0,4.0,0.0,0.0,0.0,0.96875,1,89,0,0,89.0,0.0
Abdulrahman Al-Obood,0.0,0.0,1.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,2,190,2,0,95.0,0.0
Abdón Prats Bastidas,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,185,2,0,92.5,0.0
Abdülkerim Bardakcı,0.0,0.0,2.0,216.0,186.0,0.0,3.0,15.0,0.0,0.0,4.0,0.8611111111111112,4,373,0,0,93.25,0.0
Abel Eduardo Balbo,1.0,0.0,3.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,1,78,0,1,78.0,1.0
Abel Enrique Aguilar Tapia,0.0,0.0,0.0,201.0,161.0,0.0,5.0,11.0,1.0,0.0,11.0,0.8009950248756219,6,484,0,1,80.66666666666667,0.1666666666666666
Abel Gómez Moreno,1.0,0.0,2.0,54.0,41.0,0.0,2.0,2.0,0.0,0.0,3.0,0.7592592592592593,3,271,2,0,90.33333333333331,0.0
Abelardo Carabelli,0.0,0.0,0.0,54.0,49.0,0.0,1.0,2.0,0.0,0.0,2.0,0.9074074074074074,1,84,0,0,84.0,0.0
Abhishek Dhananjay Suryavanshi,0.0,0.0,0.0,22.0,17.0,0.0,1.0,0.0,0.0,0.0,2.0,0.7727272727272727,2,183,2,0,91.5,0.0
Abigail Harrison,2.0,2.0,12.0,235.0,150.0,0.0,13.0,11.0,0.0,0.0,6.0,0.6382978723404256,20,1650,12,7,82.5,0.35
Ablie Jallow,1.0,0.0,5.0,53.0,38.0,0.0,0.0,1.0,1.0,0.0,3.0,0.7169811320754716,2,180,0,1,90.0,0.5
Abolfazl Jalali,0.0,0.0,0.0,29.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7241379310344828,1,98,1,0,98.0,0.0
Aboubacar Traoré,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,92,1,0,92.0,0.0
Aboubakar Kamara,0.0,0.0,2.0,28.0,16.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5714285714285714,4,322,3,1,80.5,0.25
Aboubakary Koita,1.0,0.0,12.0,67.0,50.0,0.0,2.0,1.0,1.0,0.0,4.0,0.746268656716418,4,362,0,1,90.5,0.25
Abraham González Casanova,1.0,1.0,16.0,593.0,464.0,0.0,29.0,9.0,0.0,0.0,18.0,0.7824620573355818,23,1872,8,9,81.3913043478261,0.391304347826087
Abraham Minero Fernández,0.0,0.0,0.0,39.0,28.0,0.0,2.0,5.0,0.0,0.0,4.0,0.717948717948718,3,226,1,0,75.33333333333333,0.0
Abraham Paz Cruz,0.0,0.0,1.0,14.0,9.0,0.0,2.0,15.0,0.0,0.0,0.0,0.6428571428571429,1,92,0,0,92.0,0.0
Absalom Iimbondi,0.0,0.0,1.0,75.0,53.0,0.0,3.0,1.0,0.0,0.0,3.0,0.7066666666666667,4,321,2,1,80.25,0.25
